epoch,loss,cal_auc
1,1724.067626953125,0.4987654185505465
2,604.6649169921875,
3,296.1826171875,
4,18.442842483520508,
5,6.75104284286499,
6,6.077579975128174,
7,5.3773908615112305,
8,4.690868377685547,
9,4.14573335647583,
10,3.6791107654571533,0.4972208199815636
11,3.4654452800750732,
12,3.327381134033203,
13,3.344330310821533,
14,3.3041276931762695,
15,3.2426838874816895,
16,3.349909543991089,
17,3.311033248901367,
18,3.1058361530303955,
19,2.926936149597168,
20,2.7045345306396484,0.49851027171765944
21,2.570560932159424,
22,2.4982845783233643,
23,2.4000680446624756,
24,2.3215816020965576,
25,2.2872071266174316,
26,2.2370119094848633,
27,2.224177598953247,
28,2.2003910541534424,
29,2.192664384841919,
30,2.227776527404785,0.4985294763179843
31,2.175755262374878,
32,2.0899696350097656,
33,2.0339083671569824,
34,1.9695886373519897,
35,1.9682378768920898,
36,1.951460838317871,
37,1.9767236709594727,
38,1.9643425941467285,
39,1.981085181236267,
40,1.9117472171783447,0.49878736666520346
41,1.8826268911361694,
42,1.9021759033203125,
43,1.8742263317108154,
44,1.8953536748886108,
45,1.8313673734664917,
46,1.819367527961731,
47,1.793325662612915,
48,1.8210275173187256,
49,1.8109595775604248,
50,1.7974894046783447,0.49849381063166676
51,1.788993239402771,
52,1.762341022491455,
53,1.790480375289917,
54,1.7899004220962524,
55,1.7725635766983032,
56,1.7702102661132812,
57,1.7477738857269287,
58,1.7125298976898193,
59,1.7323532104492188,
60,1.7358413934707642,0.49872426583556473
61,1.7170860767364502,
62,1.7326961755752563,
63,1.7367324829101562,
64,1.7194160223007202,
65,1.6980960369110107,
66,1.6914860010147095,
67,1.6886640787124634,
68,1.665719985961914,
69,1.644429087638855,
70,1.6033165454864502,0.4979643123655678
71,1.6235519647598267,
72,1.627432942390442,
73,1.6693228483200073,
74,1.6275712251663208,
75,1.5961028337478638,
76,1.569794774055481,
77,1.5921447277069092,
78,1.571230173110962,
79,1.5972398519515991,
80,1.6352163553237915,0.4980795399675168
81,1.5800535678863525,
82,1.5920697450637817,
83,1.6035500764846802,
84,1.5529247522354126,
85,1.5755562782287598,
86,1.5864454507827759,
87,1.6560012102127075,
88,1.5765082836151123,
89,1.574049472808838,
90,1.6179640293121338,0.49691354637636626
91,1.624513030052185,
92,1.6203646659851074,
93,1.6246355772018433,
94,1.609542965888977,
95,1.5809359550476074,
96,1.5664262771606445,
97,1.5805995464324951,
98,1.6114816665649414,
99,1.6131924390792847,
100,1.5897786617279053,0.49676539660243185
